question,answer
"I am experiencing mild fever, malaise, swelled lymph nodes, blood in sputum, weight loss, breathlessness, cough, chills, fatigue, sweating, loss of appetite, phlegm, chest pain, high fever, and yellowing of eyes. What condition does this match?",Tuberculosis
"I have these symptoms: breathlessness, blood in sputum, yellowing of eyes, loss of appetite, swelled lymph nodes, malaise, sweating, cough, weight loss, vomiting, mild fever, high fever, phlegm, chills, and chest pain. What do I have?",Tuberculosis
"I have these symptoms: phlegm, loss of appetite, yellowing of eyes, malaise, breathlessness, mild fever, chills, swelled lymph nodes, cough, sweating, blood in sputum, vomiting, fatigue, chest pain, and high fever. What do I have?",Tuberculosis
"My symptoms are high fever, loss of appetite, blood in sputum, phlegm, breathlessness, vomiting, malaise, chest pain, sweating, chills, mild fever, fatigue, weight loss, yellowing of eyes, and swelled lymph nodes. What could this be?",Tuberculosis
"I am experiencing breathlessness, malaise, mild fever, cough, phlegm, fatigue, vomiting, chest pain, weight loss, yellowing of eyes, loss of appetite, blood in sputum, chills, sweating, and swelled lymph nodes. What condition does this match?",Tuberculosis
"My symptoms are yellowing of eyes, blood in sputum, high fever, vomiting, mild fever, sweating, chest pain, weight loss, fatigue, phlegm, loss of appetite, malaise, swelled lymph nodes, chills, and cough. What could this be?",Tuberculosis
"I have these symptoms: weight loss, loss of appetite, fatigue, phlegm, malaise, cough, high fever, mild fever, swelled lymph nodes, breathlessness, blood in sputum, chest pain, yellowing of eyes, vomiting, and chills. What do I have?",Tuberculosis
"My symptoms are fatigue, chest pain, malaise, throat irritation, runny nose, redness of eyes, sinus pressure, phlegm, cough, swelled lymph nodes, loss of smell, high fever, muscle pain, chills, continuous sneezing, congestion, and headache. What could this be?",Common Cold
"I have these symptoms: fatigue, loss of smell, throat irritation, sinus pressure, muscle pain, swelled lymph nodes, phlegm, headache, high fever, redness of eyes, malaise, cough, chest pain, congestion, chills, runny nose, and continuous sneezing. What do I have?",Common Cold
"I have these symptoms: cough, phlegm, high fever, swelled lymph nodes, chills, congestion, fatigue, muscle pain, redness of eyes, loss of smell, throat irritation, malaise, chest pain, runny nose, sinus pressure, and headache. What do I have?",Common Cold
"My symptoms are malaise, redness of eyes, high fever, chest pain, phlegm, sinus pressure, runny nose, muscle pain, throat irritation, loss of smell, cough, fatigue, congestion, continuous sneezing, swelled lymph nodes, and headache. What could this be?",Common Cold
"My symptoms are throat irritation, swelled lymph nodes, cough, headache, chest pain, sinus pressure, congestion, chills, runny nose, redness of eyes, muscle pain, continuous sneezing, malaise, loss of smell, high fever, and phlegm. What could this be?",Common Cold
"I have these symptoms: throat irritation, congestion, sinus pressure, fatigue, swelled lymph nodes, malaise, redness of eyes, high fever, headache, runny nose, continuous sneezing, chest pain, phlegm, loss of smell, muscle pain, and chills. What do I have?",Common Cold
"I have these symptoms: congestion, swelled lymph nodes, cough, loss of smell, chest pain, runny nose, headache, fatigue, chills, redness of eyes, throat irritation, sinus pressure, malaise, muscle pain, continuous sneezing, and phlegm. What do I have?",Common Cold
"I have these symptoms: runny nose, swelled lymph nodes, fatigue, throat irritation, redness of eyes, chest pain, sinus pressure, high fever, loss of smell, cough, congestion, phlegm, malaise, chills, continuous sneezing, and muscle pain. What do I have?",Common Cold
"I have these symptoms: continuous sneezing, throat irritation, high fever, cough, loss of smell, malaise, fatigue, sinus pressure, chills, headache, chest pain, phlegm, congestion, muscle pain, redness of eyes, and runny nose. What do I have?",Common Cold
"My symptoms are chills, continuous sneezing, high fever, throat irritation, chest pain, headache, loss of smell, redness of eyes, cough, sinus pressure, phlegm, runny nose, muscle pain, fatigue, congestion, and swelled lymph nodes. What could this be?",Common Cold
"I have these symptoms: chest pain, breathlessness, high fever, sweating, chills, cough, malaise, rusty sputum, fast heart rate, and fatigue. What do I have?",Pneumonia
"My symptoms are high fever, malaise, fast heart rate, chest pain, fatigue, sweating, breathlessness, phlegm, rusty sputum, chills, and cough. What could this be?",Pneumonia
"My symptoms are chills, high fever, cough, chest pain, sweating, fatigue, malaise, rusty sputum, fast heart rate, phlegm, and breathlessness. What could this be?",Pneumonia
"I have these symptoms: rusty sputum, chest pain, phlegm, malaise, fatigue, high fever, cough, sweating, breathlessness, and fast heart rate. What do I have?",Pneumonia
"I have these symptoms: fast heart rate, sweating, phlegm, breathlessness, malaise, chills, chest pain, high fever, cough, and rusty sputum. What do I have?",Pneumonia
"My symptoms are malaise, sweating, breathlessness, rusty sputum, fatigue, fast heart rate, chills, chest pain, high fever, and phlegm. What could this be?",Pneumonia
"My symptoms are rusty sputum, fast heart rate, sweating, chest pain, fatigue, phlegm, malaise, breathlessness, cough, and chills. What could this be?",Pneumonia
"I have these symptoms: phlegm, rusty sputum, fast heart rate, fatigue, high fever, sweating, malaise, chills, chest pain, and cough. What do I have?",Pneumonia
"I have these symptoms: malaise, high fever, phlegm, chest pain, fatigue, cough, rusty sputum, chills, breathlessness, and fast heart rate. What do I have?",Pneumonia
"My symptoms are rusty sputum, phlegm, chills, cough, fast heart rate, high fever, sweating, fatigue, breathlessness, and chest pain. What could this be?",Pneumonia
"My symptoms are bloody stool, pain in anal region, constipation, irritation in anus, and pain during bowel movements. What could this be?",Dimorphic hemmorhoids(piles)
"My symptoms are constipation, pain during bowel movements, pain in anal region, bloody stool, and irritation in anus. What could this be?",Dimorphic hemmorhoids(piles)
"I am experiencing pain in anal region, pain during bowel movements, irritation in anus, constipation, and bloody stool. What condition does this match?",Dimorphic hemmorhoids(piles)
"I have these symptoms: bloody stool, irritation in anus, pain during bowel movements, and pain in anal region. What do I have?",Dimorphic hemmorhoids(piles)
"I am experiencing bloody stool, pain in anal region, irritation in anus, and constipation. What condition does this match?",Dimorphic hemmorhoids(piles)
"My symptoms are bloody stool, constipation, pain during bowel movements, and irritation in anus. What could this be?",Dimorphic hemmorhoids(piles)
"I have these symptoms: irritation in anus, pain during bowel movements, constipation, and pain in anal region. What do I have?",Dimorphic hemmorhoids(piles)
"I have these symptoms: bloody stool, constipation, pain during bowel movements, and pain in anal region. What do I have?",Dimorphic hemmorhoids(piles)
"I have these symptoms: pain during bowel movements, constipation, irritation in anus, bloody stool, and pain in anal region. What do I have?",Dimorphic hemmorhoids(piles)
"My symptoms are constipation, pain in anal region, pain during bowel movements, bloody stool, and irritation in anus. What could this be?",Dimorphic hemmorhoids(piles)
"I am experiencing breathlessness, chest pain, sweating, and vomiting. What condition does this match?",Heart attack
"My symptoms are vomiting, sweating, chest pain, and breathlessness. What could this be?",Heart attack
"I have these symptoms: chest pain, sweating, and breathlessness. What do I have?",Heart attack
"I have these symptoms: vomiting, chest pain, and sweating. What do I have?",Heart attack
"I have these symptoms: chest pain, breathlessness, and vomiting. What do I have?",Heart attack
"I am experiencing vomiting, sweating, and breathlessness. What condition does this match?",Heart attack
"My symptoms are chest pain, breathlessness, vomiting, and sweating. What could this be?",Heart attack
"My symptoms are sweating, chest pain, and breathlessness. What could this be?",Heart attack
"I have these symptoms: sweating, vomiting, and chest pain. What do I have?",Heart attack
"My symptoms are chest pain, vomiting, and breathlessness. What could this be?",Heart attack
"I have these symptoms: swollen blood vessels, obesity, cramps, bruising, swollen legs, prominent veins on calf, and fatigue. What do I have?",Varicose veins
"I am experiencing swollen legs, bruising, fatigue, prominent veins on calf, obesity, cramps, and swollen blood vessels. What condition does this match?",Varicose veins
"My symptoms are swollen legs, cramps, prominent veins on calf, swollen blood vessels, bruising, and obesity. What could this be?",Varicose veins
"I have these symptoms: swollen blood vessels, obesity, prominent veins on calf, fatigue, swollen legs, and bruising. What do I have?",Varicose veins
"My symptoms are cramps, obesity, swollen blood vessels, prominent veins on calf, fatigue, and swollen legs. What could this be?",Varicose veins
"I am experiencing swollen blood vessels, fatigue, bruising, prominent veins on calf, swollen legs, and cramps. What condition does this match?",Varicose veins
"I have these symptoms: prominent veins on calf, obesity, fatigue, bruising, swollen blood vessels, and cramps. What do I have?",Varicose veins
"I have these symptoms: bruising, fatigue, prominent veins on calf, obesity, swollen legs, and cramps. What do I have?",Varicose veins
"My symptoms are swollen legs, swollen blood vessels, bruising, fatigue, cramps, and obesity. What could this be?",Varicose veins
"I have these symptoms: obesity, bruising, swollen legs, cramps, fatigue, and prominent veins on calf. What do I have?",Varicose veins
"My symptoms are dizziness, weight gain, puffy face and eyes, depression, cold hands and feets, fatigue, lethargy, irritability, abnormal menstruation, swollen extremeties, brittle nails, enlarged thyroid, and mood swings. What could this be?",Hypothyroidism
"I am experiencing irritability, mood swings, weight gain, cold hands and feets, dizziness, puffy face and eyes, abnormal menstruation, enlarged thyroid, lethargy, swollen extremeties, fatigue, depression, and brittle nails. What condition does this match?",Hypothyroidism
"My symptoms are cold hands and feets, lethargy, weight gain, brittle nails, mood swings, puffy face and eyes, swollen extremeties, depression, dizziness, irritability, abnormal menstruation, and enlarged thyroid. What could this be?",Hypothyroidism
"I have these symptoms: brittle nails, abnormal menstruation, swollen extremeties, weight gain, cold hands and feets, lethargy, puffy face and eyes, dizziness, enlarged thyroid, mood swings, irritability, and depression. What do I have?",Hypothyroidism
"My symptoms are abnormal menstruation, cold hands and feets, swollen extremeties, depression, lethargy, puffy face and eyes, irritability, brittle nails, mood swings, fatigue, enlarged thyroid, and dizziness. What could this be?",Hypothyroidism
"My symptoms are dizziness, swollen extremeties, weight gain, puffy face and eyes, lethargy, depression, mood swings, enlarged thyroid, brittle nails, irritability, abnormal menstruation, and fatigue. What could this be?",Hypothyroidism
"I have these symptoms: brittle nails, fatigue, weight gain, irritability, puffy face and eyes, dizziness, swollen extremeties, cold hands and feets, depression, enlarged thyroid, lethargy, and abnormal menstruation. What do I have?",Hypothyroidism
"I am experiencing brittle nails, cold hands and feets, puffy face and eyes, abnormal menstruation, dizziness, irritability, enlarged thyroid, depression, weight gain, fatigue, mood swings, and swollen extremeties. What condition does this match?",Hypothyroidism
"My symptoms are swollen extremeties, cold hands and feets, mood swings, abnormal menstruation, fatigue, depression, irritability, puffy face and eyes, enlarged thyroid, lethargy, brittle nails, and weight gain. What could this be?",Hypothyroidism
"I have these symptoms: depression, irritability, fatigue, weight gain, brittle nails, dizziness, cold hands and feets, enlarged thyroid, lethargy, mood swings, abnormal menstruation, and swollen extremeties. What do I have?",Hypothyroidism
"I am experiencing irritability, restlessness, abnormal menstruation, diarrhoea, fast heart rate, excessive hunger, sweating, muscle weakness, weight loss, fatigue, and mood swings. What condition does this match?",Hyperthyroidism
"I am experiencing muscle weakness, irritability, diarrhoea, mood swings, restlessness, weight loss, fast heart rate, excessive hunger, sweating, abnormal menstruation, and fatigue. What condition does this match?",Hyperthyroidism
"I have these symptoms: sweating, weight loss, diarrhoea, irritability, restlessness, muscle weakness, mood swings, excessive hunger, abnormal menstruation, and fast heart rate. What do I have?",Hyperthyroidism
"My symptoms are fatigue, fast heart rate, restlessness, irritability, excessive hunger, muscle weakness, weight loss, diarrhoea, sweating, and abnormal menstruation. What could this be?",Hyperthyroidism
"My symptoms are diarrhoea, mood swings, irritability, fast heart rate, sweating, fatigue, restlessness, muscle weakness, excessive hunger, and abnormal menstruation. What could this be?",Hyperthyroidism
"My symptoms are weight loss, fatigue, excessive hunger, sweating, mood swings, diarrhoea, abnormal menstruation, muscle weakness, fast heart rate, and irritability. What could this be?",Hyperthyroidism
"My symptoms are excessive hunger, abnormal menstruation, mood swings, irritability, fast heart rate, diarrhoea, fatigue, weight loss, muscle weakness, and restlessness. What could this be?",Hyperthyroidism
"I have these symptoms: fatigue, weight loss, mood swings, sweating, muscle weakness, excessive hunger, restlessness, irritability, abnormal menstruation, and fast heart rate. What do I have?",Hyperthyroidism
"I have these symptoms: muscle weakness, fatigue, diarrhoea, sweating, restlessness, irritability, abnormal menstruation, excessive hunger, mood swings, and weight loss. What do I have?",Hyperthyroidism
"I am experiencing fatigue, muscle weakness, fast heart rate, irritability, weight loss, abnormal menstruation, mood swings, sweating, restlessness, and diarrhoea. What condition does this match?",Hyperthyroidism
"I have these symptoms: fatigue, anxiety, vomiting, headache, palpitations, blurred and distorted vision, excessive hunger, slurred speech, irritability, nausea, and sweating. What do I have?",Hypoglycemia
"I have these symptoms: drying and tingling lips, anxiety, nausea, fatigue, headache, palpitations, blurred and distorted vision, slurred speech, excessive hunger, vomiting, sweating, and irritability. What do I have?",Hypoglycemia
"I have these symptoms: sweating, palpitations, fatigue, headache, nausea, slurred speech, blurred and distorted vision, vomiting, drying and tingling lips, excessive hunger, irritability, and anxiety. What do I have?",Hypoglycemia
"My symptoms are blurred and distorted vision, sweating, fatigue, headache, slurred speech, palpitations, irritability, drying and tingling lips, excessive hunger, anxiety, and nausea. What could this be?",Hypoglycemia
"I have these symptoms: excessive hunger, headache, drying and tingling lips, blurred and distorted vision, slurred speech, irritability, anxiety, vomiting, palpitations, sweating, and nausea. What do I have?",Hypoglycemia
"My symptoms are slurred speech, irritability, sweating, drying and tingling lips, palpitations, vomiting, nausea, headache, excessive hunger, fatigue, and blurred and distorted vision. What could this be?",Hypoglycemia
"My symptoms are vomiting, drying and tingling lips, irritability, palpitations, excessive hunger, slurred speech, nausea, headache, fatigue, anxiety, and blurred and distorted vision. What could this be?",Hypoglycemia
"My symptoms are anxiety, excessive hunger, sweating, vomiting, nausea, slurred speech, irritability, blurred and distorted vision, drying and tingling lips, palpitations, and fatigue. What could this be?",Hypoglycemia
"I have these symptoms: slurred speech, blurred and distorted vision, headache, irritability, fatigue, vomiting, drying and tingling lips, anxiety, sweating, excessive hunger, and palpitations. What do I have?",Hypoglycemia
"I am experiencing sweating, anxiety, nausea, palpitations, excessive hunger, fatigue, vomiting, drying and tingling lips, headache, slurred speech, and irritability. What condition does this match?",Hypoglycemia
"I have these symptoms: neck pain, painful walking, knee pain, joint pain, hip joint pain, and swelling joints. What do I have?",Osteoarthristis
"My symptoms are knee pain, joint pain, swelling joints, neck pain, painful walking, and hip joint pain. What could this be?",Osteoarthristis
"My symptoms are neck pain, knee pain, painful walking, swelling joints, and hip joint pain. What could this be?",Osteoarthristis
"My symptoms are painful walking, swelling joints, knee pain, hip joint pain, and joint pain. What could this be?",Osteoarthristis
"My symptoms are swelling joints, joint pain, painful walking, neck pain, and hip joint pain. What could this be?",Osteoarthristis
"My symptoms are joint pain, knee pain, neck pain, painful walking, and swelling joints. What could this be?",Osteoarthristis
"My symptoms are neck pain, painful walking, knee pain, joint pain, and hip joint pain. What could this be?",Osteoarthristis
"My symptoms are neck pain, swelling joints, joint pain, knee pain, and hip joint pain. What could this be?",Osteoarthristis
"My symptoms are joint pain, painful walking, neck pain, knee pain, swelling joints, and hip joint pain. What could this be?",Osteoarthristis
"I have these symptoms: swelling joints, neck pain, knee pain, joint pain, painful walking, and hip joint pain. What do I have?",Osteoarthristis
"My symptoms are movement stiffness, painful walking, swelling joints, stiff neck, and muscle weakness. What could this be?",Arthritis
"I have these symptoms: movement stiffness, painful walking, muscle weakness, swelling joints, and stiff neck. What do I have?",Arthritis
"I am experiencing movement stiffness, painful walking, swelling joints, and stiff neck. What condition does this match?",Arthritis
"I have these symptoms: muscle weakness, swelling joints, painful walking, and movement stiffness. What do I have?",Arthritis
"I am experiencing stiff neck, movement stiffness, muscle weakness, and painful walking. What condition does this match?",Arthritis
"I am experiencing painful walking, muscle weakness, swelling joints, and stiff neck. What condition does this match?",Arthritis
"I am experiencing movement stiffness, swelling joints, painful walking, muscle weakness, and stiff neck. What condition does this match?",Arthritis
"I have these symptoms: muscle weakness, stiff neck, swelling joints, and movement stiffness. What do I have?",Arthritis
"My symptoms are swelling joints, painful walking, muscle weakness, stiff neck, and movement stiffness. What could this be?",Arthritis
"I have these symptoms: stiff neck, painful walking, muscle weakness, movement stiffness, and swelling joints. What do I have?",Arthritis
"I am experiencing unsteadiness, headache, loss of balance, spinning movements, vomiting, and nausea. What condition does this match?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: spinning movements, headache, nausea, loss of balance, unsteadiness, and vomiting. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: spinning movements, headache, loss of balance, unsteadiness, and nausea. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"My symptoms are vomiting, unsteadiness, nausea, spinning movements, and loss of balance. What could this be?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: headache, spinning movements, loss of balance, unsteadiness, and vomiting. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: nausea, loss of balance, unsteadiness, headache, and vomiting. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"I am experiencing vomiting, spinning movements, nausea, headache, and unsteadiness. What condition does this match?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: nausea, loss of balance, spinning movements, vomiting, and headache. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"I have these symptoms: nausea, unsteadiness, vomiting, spinning movements, loss of balance, and headache. What do I have?",(vertigo) Paroymsal  Positional Vertigo
"My symptoms are nausea, loss of balance, unsteadiness, vomiting, and headache. What could this be?",(vertigo) Paroymsal  Positional Vertigo
"My symptoms are blackheads, pus filled pimples, scurring, and skin rash. What could this be?",Acne
"I am experiencing scurring, skin rash, blackheads, and pus filled pimples. What condition does this match?",Acne
"My symptoms are blackheads, pus filled pimples, and scurring. What could this be?",Acne
"I am experiencing scurring, skin rash, and blackheads. What condition does this match?",Acne
"My symptoms are pus filled pimples, skin rash, and scurring. What could this be?",Acne
"My symptoms are blackheads, pus filled pimples, and skin rash. What could this be?",Acne
"I have these symptoms: pus filled pimples, blackheads, scurring, and skin rash. What do I have?",Acne
"My symptoms are blackheads, skin rash, and pus filled pimples. What could this be?",Acne
"I am experiencing pus filled pimples, scurring, and skin rash. What condition does this match?",Acne
"My symptoms are scurring, blackheads, and skin rash. What could this be?",Acne
"I have these symptoms: continuous feel of urine, bladder discomfort, foul smell of urine, and burning micturition. What do I have?",Urinary tract infection
"My symptoms are burning micturition, continuous feel of urine, foul smell of urine, and bladder discomfort. What could this be?",Urinary tract infection
"I have these symptoms: continuous feel of urine, bladder discomfort, and foul smell of urine. What do I have?",Urinary tract infection
"My symptoms are continuous feel of urine, foul smell of urine, and burning micturition. What could this be?",Urinary tract infection
"I have these symptoms: continuous feel of urine, bladder discomfort, and burning micturition. What do I have?",Urinary tract infection
"I have these symptoms: foul smell of urine, bladder discomfort, and burning micturition. What do I have?",Urinary tract infection
"I am experiencing burning micturition, continuous feel of urine, foul smell of urine, and bladder discomfort. What condition does this match?",Urinary tract infection
"My symptoms are bladder discomfort, burning micturition, and continuous feel of urine. What could this be?",Urinary tract infection
"I have these symptoms: foul smell of urine, continuous feel of urine, and bladder discomfort. What do I have?",Urinary tract infection
"I am experiencing bladder discomfort, continuous feel of urine, and burning micturition. What condition does this match?",Urinary tract infection
"I have these symptoms: silver like dusting, skin rash, skin peeling, inflammatory nails, small dents in nails, and joint pain. What do I have?",Psoriasis
"My symptoms are inflammatory nails, small dents in nails, joint pain, skin rash, silver like dusting, and skin peeling. What could this be?",Psoriasis
"I have these symptoms: skin peeling, joint pain, silver like dusting, small dents in nails, and inflammatory nails. What do I have?",Psoriasis
"I have these symptoms: silver like dusting, skin peeling, inflammatory nails, small dents in nails, and skin rash. What do I have?",Psoriasis
"I am experiencing small dents in nails, joint pain, silver like dusting, inflammatory nails, and skin rash. What condition does this match?",Psoriasis
"I am experiencing inflammatory nails, joint pain, skin rash, skin peeling, and small dents in nails. What condition does this match?",Psoriasis
"I am experiencing skin peeling, inflammatory nails, silver like dusting, skin rash, and joint pain. What condition does this match?",Psoriasis
"I am experiencing silver like dusting, small dents in nails, skin rash, joint pain, and skin peeling. What condition does this match?",Psoriasis
"I am experiencing skin rash, small dents in nails, silver like dusting, skin peeling, joint pain, and inflammatory nails. What condition does this match?",Psoriasis
"I am experiencing joint pain, skin peeling, skin rash, inflammatory nails, silver like dusting, and small dents in nails. What condition does this match?",Psoriasis
"I have these symptoms: high fever, blister, skin rash, yellow crust ooze, and red sore around nose. What do I have?",Impetigo
"I am experiencing yellow crust ooze, skin rash, red sore around nose, high fever, and blister. What condition does this match?",Impetigo
"My symptoms are yellow crust ooze, red sore around nose, blister, and high fever. What could this be?",Impetigo
"I am experiencing red sore around nose, blister, skin rash, and yellow crust ooze. What condition does this match?",Impetigo
"My symptoms are skin rash, blister, yellow crust ooze, and red sore around nose. What could this be?",Impetigo
"I am experiencing skin rash, high fever, yellow crust ooze, and red sore around nose. What condition does this match?",Impetigo
"I am experiencing high fever, skin rash, blister, and yellow crust ooze. What condition does this match?",Impetigo
"My symptoms are blister, red sore around nose, skin rash, and high fever. What could this be?",Impetigo
"I am experiencing blister, red sore around nose, skin rash, yellow crust ooze, and high fever. What condition does this match?",Impetigo
"I have these symptoms: blister, red sore around nose, skin rash, and yellow crust ooze. What do I have?",Impetigo
"I have these symptoms: itching, dischromic  patches, skin rash, and nodal skin eruptions. What do I have?",Fungal infection
"I have these symptoms: nodal skin eruptions, skin rash, and dischromic  patches. What do I have?",Fungal infection
"I have these symptoms: nodal skin eruptions, dischromic  patches, and itching. What do I have?",Fungal infection
"My symptoms are dischromic  patches, itching, and skin rash. What could this be?",Fungal infection
"My symptoms are nodal skin eruptions, itching, and skin rash. What could this be?",Fungal infection
"I am experiencing skin rash, nodal skin eruptions, and dischromic  patches. What condition does this match?",Fungal infection
"My symptoms are dischromic  patches, nodal skin eruptions, and itching. What could this be?",Fungal infection
"I am experiencing skin rash, itching, and dischromic  patches. What condition does this match?",Fungal infection
"I am experiencing nodal skin eruptions, itching, and skin rash. What condition does this match?",Fungal infection
"I have these symptoms: itching, nodal skin eruptions, dischromic  patches, and skin rash. What do I have?",Fungal infection
"I have these symptoms: shivering, watering from eyes, continuous sneezing, and chills. What do I have?",Allergy
"I have these symptoms: shivering, chills, and watering from eyes. What do I have?",Allergy
"I have these symptoms: continuous sneezing, chills, and watering from eyes. What do I have?",Allergy
"I have these symptoms: watering from eyes, continuous sneezing, and shivering. What do I have?",Allergy
"I am experiencing continuous sneezing, shivering, and chills. What condition does this match?",Allergy
"I have these symptoms: watering from eyes, shivering, and chills. What do I have?",Allergy
"I have these symptoms: watering from eyes, continuous sneezing, and chills. What do I have?",Allergy
"My symptoms are continuous sneezing, shivering, and watering from eyes. What could this be?",Allergy
"I have these symptoms: continuous sneezing, chills, and shivering. What do I have?",Allergy
"I am experiencing watering from eyes, continuous sneezing, chills, and shivering. What condition does this match?",Allergy
"I have these symptoms: acidity, chest pain, ulcers on tongue, vomiting, stomach pain, and cough. What do I have?",GERD
"I am experiencing cough, stomach pain, ulcers on tongue, vomiting, and chest pain. What condition does this match?",GERD
"I am experiencing stomach pain, acidity, chest pain, cough, and vomiting. What condition does this match?",GERD
"My symptoms are chest pain, acidity, cough, ulcers on tongue, and stomach pain. What could this be?",GERD
"My symptoms are vomiting, ulcers on tongue, chest pain, stomach pain, and acidity. What could this be?",GERD
"I have these symptoms: stomach pain, cough, vomiting, ulcers on tongue, and acidity. What do I have?",GERD
"I have these symptoms: cough, ulcers on tongue, acidity, chest pain, and vomiting. What do I have?",GERD
"I have these symptoms: chest pain, cough, vomiting, ulcers on tongue, and stomach pain. What do I have?",GERD
"I have these symptoms: chest pain, vomiting, stomach pain, acidity, and cough. What do I have?",GERD
"I have these symptoms: ulcers on tongue, acidity, chest pain, stomach pain, and cough. What do I have?",GERD
"I have these symptoms: itching, nausea, abdominal pain, vomiting, yellowing of eyes, loss of appetite, and yellowish skin. What do I have?",Chronic cholestasis
"My symptoms are abdominal pain, yellowish skin, nausea, yellowing of eyes, vomiting, and loss of appetite. What could this be?",Chronic cholestasis
"I am experiencing itching, abdominal pain, nausea, yellowing of eyes, yellowish skin, and loss of appetite. What condition does this match?",Chronic cholestasis
"I am experiencing nausea, itching, loss of appetite, yellowing of eyes, abdominal pain, and vomiting. What condition does this match?",Chronic cholestasis
"I have these symptoms: yellowing of eyes, itching, yellowish skin, vomiting, loss of appetite, and abdominal pain. What do I have?",Chronic cholestasis
"I have these symptoms: yellowish skin, nausea, yellowing of eyes, abdominal pain, itching, and vomiting. What do I have?",Chronic cholestasis
"My symptoms are nausea, vomiting, yellowish skin, yellowing of eyes, itching, and loss of appetite. What could this be?",Chronic cholestasis
"I am experiencing abdominal pain, itching, yellowish skin, loss of appetite, nausea, and vomiting. What condition does this match?",Chronic cholestasis
"My symptoms are yellowish skin, yellowing of eyes, nausea, abdominal pain, vomiting, loss of appetite, and itching. What could this be?",Chronic cholestasis
"My symptoms are yellowish skin, yellowing of eyes, abdominal pain, nausea, vomiting, loss of appetite, and itching. What could this be?",Chronic cholestasis
"I am experiencing stomach pain, itching, spotting  urination, skin rash, and burning micturition. What condition does this match?",Drug Reaction
"I have these symptoms: stomach pain, spotting  urination, burning micturition, and itching. What do I have?",Drug Reaction
"I have these symptoms: skin rash, spotting  urination, itching, and burning micturition. What do I have?",Drug Reaction
"My symptoms are stomach pain, itching, skin rash, and spotting  urination. What could this be?",Drug Reaction
"I am experiencing stomach pain, burning micturition, skin rash, and itching. What condition does this match?",Drug Reaction
"I have these symptoms: spotting  urination, stomach pain, burning micturition, and skin rash. What do I have?",Drug Reaction
"I have these symptoms: spotting  urination, stomach pain, burning micturition, and itching. What do I have?",Drug Reaction
"My symptoms are burning micturition, skin rash, spotting  urination, and itching. What could this be?",Drug Reaction
"My symptoms are itching, skin rash, spotting  urination, and stomach pain. What could this be?",Drug Reaction
"I am experiencing itching, skin rash, stomach pain, and burning micturition. What condition does this match?",Drug Reaction
"My symptoms are passage of gases, loss of appetite, abdominal pain, vomiting, and internal itching. What could this be?",Peptic ulcer diseae
"I am experiencing vomiting, passage of gases, internal itching, indigestion, and abdominal pain. What condition does this match?",Peptic ulcer diseae
"I am experiencing indigestion, internal itching, abdominal pain, passage of gases, and loss of appetite. What condition does this match?",Peptic ulcer diseae
"I am experiencing passage of gases, abdominal pain, internal itching, loss of appetite, and vomiting. What condition does this match?",Peptic ulcer diseae
"My symptoms are vomiting, abdominal pain, internal itching, passage of gases, and indigestion. What could this be?",Peptic ulcer diseae
"I am experiencing indigestion, passage of gases, vomiting, internal itching, and loss of appetite. What condition does this match?",Peptic ulcer diseae
"I have these symptoms: abdominal pain, vomiting, indigestion, loss of appetite, and internal itching. What do I have?",Peptic ulcer diseae
"I am experiencing loss of appetite, indigestion, vomiting, abdominal pain, and passage of gases. What condition does this match?",Peptic ulcer diseae
"I am experiencing abdominal pain, loss of appetite, passage of gases, indigestion, vomiting, and internal itching. What condition does this match?",Peptic ulcer diseae
"I have these symptoms: indigestion, loss of appetite, abdominal pain, vomiting, passage of gases, and internal itching. What do I have?",Peptic ulcer diseae
"I am experiencing extra marital contacts, patches in throat, high fever, and muscle wasting. What condition does this match?",AIDS
"My symptoms are patches in throat, extra marital contacts, and high fever. What could this be?",AIDS
"I am experiencing extra marital contacts, high fever, and muscle wasting. What condition does this match?",AIDS
"I have these symptoms: patches in throat, extra marital contacts, and muscle wasting. What do I have?",AIDS
"My symptoms are patches in throat, high fever, and muscle wasting. What could this be?",AIDS
"I am experiencing patches in throat, high fever, extra marital contacts, and muscle wasting. What condition does this match?",AIDS
"My symptoms are patches in throat, extra marital contacts, muscle wasting, and high fever. What could this be?",AIDS
"My symptoms are patches in throat, high fever, and extra marital contacts. What could this be?",AIDS
"I have these symptoms: muscle wasting, high fever, and extra marital contacts. What do I have?",AIDS
"My symptoms are high fever, muscle wasting, and patches in throat. What could this be?",AIDS
"I have these symptoms: increased appetite, lethargy, obesity, weight loss, restlessness, polyuria, excessive hunger, blurred and distorted vision, fatigue, and irregular sugar level. What do I have?",Diabetes 
"I have these symptoms: excessive hunger, fatigue, restlessness, blurred and distorted vision, obesity, lethargy, irregular sugar level, increased appetite, polyuria, and weight loss. What do I have?",Diabetes 
